track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4QRkCwqwHFaZ7xeoR9CHL6,Keane,Strangeland,Sovereign Light Café,62,218840,False,0.535,0.725,8,-5.861,0,0.0302,0.013,0.0,0.156,0.509,122.84,1,Classical / Ambient
2uvSVjHzjK7xVldIjrLNIq,Clannad,Legend,Darkmere - Remastered 2003,24,121306,False,0.26,0.387,9,-11.986,0,0.0342,0.458,0.539,0.0765,0.278,130.262,5,Classical / Ambient
6vZRJSlkmxAEDb51WeqZFC,Felix Langgard,Langeland,Langeland,59,182337,False,0.0612,0.0941,5,-25.781,1,0.0485,0.821,0.789,0.107,0.0331,65.222,4,Classical / Ambient
10zfQIoFPJJLTz97BTCivL,Dimash Qudaibergen,"Couldn't Leave (電視劇《親愛的, 熱愛的》插曲)","Couldn't Leave (電視劇《親愛的, 熱愛的》插曲)",41,193600,False,0.295,0.402,6,-10.493,0,0.0321,0.535,0.000104,0.105,0.069,149.525,4,Classical / Ambient
1oQt6kTiuPsQEFaHWFH6Pl,Dusty Decks,Neon Tapestries,Neon Tapestries,53,156037,False,0.657,0.155,6,-6.702,1,0.0852,0.472,0.92,0.113,0.44,162.269,4,Classical / Ambient
2fQYrt0xsPSvRtCCWy7l56,Yanni,If I Could Tell You,A Walk in the Rain,38,298440,False,0.446,0.562,2,-12.628,0,0.031,0.479,0.864,0.113,0.425,150.028,1,Classical / Ambient
30Hm5tUVPVoJzGIEBchOT3,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - All Day Classics,"8 Variations on ‘Come un agnello’ by Sarti in A, K.460: 1.Theme",15,64039,False,0.588,0.0235,9,-27.184,1,0.0855,0.994,0.963,0.104,0.502,100.233,4,Classical / Ambient
5u8JFIiwYnvlvOluXoyANy,Blurstem,Fabric of Summer,Fabric of Summer,54,134523,False,0.434,0.00159,0,-33.554,1,0.0439,0.983,0.785,0.118,0.18,85.395,5,Classical / Ambient
6FzsCT6DCr8hckm5FdU4do,Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,A Family Christmas,Il Giorno Più Speciale,0,195506,False,0.213,0.318,8,-9.408,1,0.0308,0.587,0.0,0.0877,0.23,182.185,3,Classical / Ambient
4CpnDXnXGK3vVcB1rj4ECV,Giuseppe Verdi;Vincenzo Ciliberti,CD 1 I CLASSICI,Forza del destino - La vergine degli Angeli,0,218722,False,0.142,0.261,6,-10.312,1,0.035,0.994,0.781,0.29,0.12,63.399,4,Classical / Ambient
4eFep9DBADNMNOU5hPh3EH,Filippa Giordano,Con Amor a México,Contigo Aprendí,31,192306,False,0.368,0.377,2,-6.508,0,0.0282,0.807,2.19e-05,0.108,0.189,81.305,4,Classical / Ambient
4jG4sYRBkrJRBx2dMgNwYY,aswekeepsearching,Rooh,Gangtey,33,137765,False,0.182,0.242,2,-16.755,1,0.0442,0.922,0.872,0.101,0.074,114.671,1,Classical / Ambient
3Xl7gON72joBquu8YJG8z9,Crate Diggers,Mixtape,Sentimental Mood,38,109500,False,0.738,0.558,10,-12.088,0,0.0423,0.000663,0.163,0.17,0.601,80.03,4,Classical / Ambient
6bfzJqCmmKyn7GQtgnfWd1,Giacomo Puccini;Renée Fleming;English Chamber Orchestra;Jeffrey Tate,Silvia Colloca - Sing Like An Italian,"La rondine, SC 83: Chi il bel sogno di Doretta",1,223314,False,0.234,0.136,5,-18.882,1,0.0458,0.97,0.281,0.108,0.0374,85.418,4,Classical / Ambient
2vD20Aj8Ru9NAmJl1Ca2qS,Ólafur Arnalds,re:member,momentary,56,125413,False,0.429,0.00693,9,-31.051,1,0.0539,0.995,0.938,0.0711,0.431,97.075,4,Classical / Ambient
32nusAofV3372piP7Thg8w,Celtic Woman,Celebration,Danny Boy - 2013 Version,19,197693,False,0.271,0.101,3,-14.4,1,0.0383,0.977,0.0,0.0969,0.211,150.204,5,Classical / Ambient
4IobGgSRBLAawpbXZAZztg,Frédéric Chopin;Makiko Takeda,Refreshing Piano,"Impromptu No. 1 in A-Flat Major, Op. 29",0,205706,False,0.245,0.0282,8,-30.836,1,0.0392,0.993,0.927,0.0976,0.137,92.531,4,Classical / Ambient
6334UUHfD3BBDZO2uSCo7T,Sol3 Mio;The Haines Strings Octet,Sol3 Mio (Bonus Track Version),Songbird,24,191853,False,0.574,0.152,11,-15.127,1,0.0288,0.939,0.002,0.0853,0.294,107.714,4,Classical / Ambient
3umEiXjMwOxASAGBVbkfS1,David Wahler,Antiquus,Ancient Dawn,24,259680,False,0.0642,0.263,7,-14.83,0,0.0354,0.399,0.939,0.249,0.0617,52.646,4,Classical / Ambient
1QSfgGcP3Rmdo2EdW1s4ya,Novo Amor,Antarctican Dream Machine,Slowlife,46,214680,False,0.412,0.124,10,-20.09,1,0.0425,0.939,0.909,0.109,0.0398,119.992,4,Classical / Ambient
6kPIwOCEiDLboMRvVLJ0W4,Rain Sounds,Loopable Rain Sounds,Countryside Rain,38,158343,False,0.155,0.993,8,-16.381,1,0.0662,0.0911,0.546,0.799,1e-05,133.085,5,Classical / Ambient
37GWzLSkDiHzxVPNKpa1CK,Traditional;Jim Brickman,Piano Songs for Kids,Amazing Grace,0,186373,False,0.35,0.152,0,-17.183,1,0.0384,0.968,0.842,0.12,0.195,132.075,4,Classical / Ambient
220KFUVjdcPP0Nw0pUpyeU,Giacomo Puccini;Arioso Quartett Wien,Encores,Crisantemi,0,342893,False,0.15,0.106,6,-18.592,0,0.0426,0.842,0.835,0.111,0.0553,83.844,1,Classical / Ambient
2DMiSkHwT061yJo4nWdkvt,Antonio Vivaldi;Cet étrange éclat,Sfumato,"Sonate pour violoncelle, RV 47: I. Preludio",1,168266,False,0.144,0.0231,9,-24.877,1,0.0414,0.604,0.401,0.118,0.108,139.798,4,Classical / Ambient
7EA2OnLvsAW0eVQetMhwU0,Celtic Woman,"Decade. The Songs, The Show, The Traditions, The Classics.",My Lagan Love,19,170360,False,0.223,0.046,6,-18.845,1,0.0398,0.985,3.72e-05,0.0804,0.282,86.356,4,Classical / Ambient
1ALF19nT37rRaJ9frQq35e,Jacob's Piano,"Sadness and Sorrow (From ""Naruto"")","Sadness and Sorrow (From ""Naruto"")",38,216204,False,0.373,0.0712,4,-18.089,0,0.0368,0.983,0.954,0.0943,0.0898,120.619,4,Classical / Ambient
0VMPNNbZcV6aP0O9ZCLNhe,Little Lazy Lights,Friday,Friday,42,216688,False,0.684,0.195,2,-12.286,0,0.107,0.952,0.955,0.103,0.294,80.28,4,Classical / Ambient
5q1kvYPhUx9uuj1uJ5lIRC,Weißes Rauschen HD,Meereswellen zum Schlafen: Weißes Rauschen für den Schlaf,Flache Wellen,44,222812,False,0.164,0.465,0,-28.535,0,0.0625,0.917,0.899,0.184,0.00345,125.95,4,Classical / Ambient
58Xkg3LJSLNJ16TjPivQmL,Josh Groban;Arturo Sandoval,All That Echoes (Deluxe),Un alma más (feat. Arturo Sandoval),21,250453,False,0.483,0.521,7,-9.221,0,0.0397,0.685,2.97e-05,0.1,0.43,172.098,4,Classical / Ambient
1H16V8BXMLl94lnog8hPZt,Sergei Rachmaninoff;Talistrio,"Casella, Rachmaninoff & Yamada: Chamber Works","Trio élégiaque No. 2 in D Minor, Op. 9: II. Quasi variazione. Andante",0,1452106,False,0.202,0.0329,5,-26.269,1,0.0453,0.968,0.569,0.0842,0.0374,72.341,4,Classical / Ambient
1vgSaC0BPlL6LEm4Xsx59J,Brian Eno,Apollo,An Ending (Ascent) - Remastered 2005,59,266200,False,0.257,0.0906,8,-25.381,1,0.07,0.932,0.985,0.0786,0.0451,67.46,3,Classical / Ambient
454UCF9pZF68npiKK9lAks,Wolfgang Amadeus Mozart;London Symphony Orchestra;Peter Maag,Mozart - All Day Classics,"6 German Dances, K. 509: No. 3 in E-Flat Major",12,75120,False,0.293,0.497,10,-12.976,1,0.04,0.97,0.846,0.134,0.434,108.813,4,Classical / Ambient
2bBNdeBMLLOrpzewcEQIPl,Calming Eyes,Graceful,For Your Relief,65,141510,False,0.149,0.0161,2,-34.556,1,0.0351,0.906,0.945,0.111,0.03,141.243,3,Classical / Ambient
0KyhEtQkmXfWh6amFk9w9n,Giuseppe Verdi;Vincenzo Ciliberti,CD 2 LE NOVITÀ,Attila - Che non avrebbe il misero,0,162381,False,0.229,0.45,10,-8.16,1,0.0374,0.969,0.383,0.106,0.139,114.808,4,Classical / Ambient
6qO260PuQGnxCQ4SRrSi6M,Bernward Koch,Walking through Clouds,Touched by Love,50,202853,False,0.153,0.0555,9,-19.488,1,0.0351,0.978,0.953,0.121,0.0618,71.912,4,Classical / Ambient
2u9X8G6eYV69BaN8sm05X6,Dan Gibson's Solitudes,Caribbean Spa,The Rhythm of Paradise,21,512173,False,0.122,0.0912,5,-26.015,1,0.0365,0.944,0.934,0.527,0.117,79.759,4,Classical / Ambient
1mzZfSbbgtL4EQ4E1dnmuW,White Noise Baby Sleep Music,Baby Lullaby: Sleeping Music with White Noise,My Little Angel,32,136800,False,0.119,0.0179,1,-31.695,1,0.0508,0.991,0.944,0.164,0.299,52.982,4,Classical / Ambient
732Zsh1L5ixRNgAmiPyvrp,Novo Amor,"Cannot Be, Whatsoever",Opaline,58,192040,False,0.367,0.337,1,-9.857,1,0.0326,0.955,0.117,0.0869,0.283,181.868,4,Classical / Ambient
0ps8AEK7yyrTjM2DAO7gKN,static breather,Oxydation,Oxydation,34,148500,False,0.719,0.396,6,-12.47,1,0.0773,0.0702,0.275,0.0815,0.529,159.964,4,Classical / Ambient
62velwDNtZJhdPOpy9ctiE,Max Richter;Johannes Bornlöf,Stress Free Music,Written on the Sky,0,116550,False,0.346,0.122,1,-26.341,1,0.0554,0.992,0.927,0.144,0.183,109.94,4,Classical / Ambient
5p4Qpabv0QrbKaOZP7SLom,Giacomo Puccini;Renée Fleming;London Philharmonic Orchestra;Sir Charles Mackerras,Opera Chill & Relax,"La Bohème / Act 2: ""Quando men vo""",24,166826,False,0.345,0.158,4,-20.679,1,0.051,0.983,0.227,0.72,0.0448,80.819,4,Classical / Ambient
150kk5S2hUULZD4yApAwSH,Dmitri Hvorostovsky,"Starinnye Russkie Romansy - Kollektsionnoe Izadanie, Vol. 1 (Ya Vstretil Vas...)",Ya Vstretil Vas...,19,279720,False,0.167,0.203,0,-17.377,0,0.0423,0.983,0.144,0.0799,0.0888,178.579,4,Classical / Ambient
4h0KkJEWim1EJJrHbB26Tb,Jacob David,Lille fugl,Lille fugl,26,133874,False,0.381,0.18,5,-26.271,1,0.0279,0.924,0.873,0.111,0.177,45.647,4,Classical / Ambient
4CppdAJG5buU2xqaDmTVkf,Nana Mouskouri;Alain Goraguer Et Son Orchestre,Nana (Originale),Lied der Freiheit,22,240413,False,0.252,0.297,1,-12.543,1,0.0406,0.958,0.000202,0.135,0.172,104.224,4,Classical / Ambient
2ZzCYFbW5wbGU6NfuJoZRm,Smyang Piano;tamagopalette,No Hard Feelings,First Love - Lofi Edit,38,127500,False,0.471,0.195,8,-17.976,0,0.0289,0.964,0.905,0.111,0.258,79.997,4,Classical / Ambient
3lNJ56GfiNeYRDqkP9c9Ol,Little Symphony,Serenity,Boyoma,27,99047,False,0.175,0.195,9,-23.733,0,0.0464,0.857,0.84,0.372,0.104,63.029,4,Classical / Ambient
4dSMhQJdhx8K7yZFz1HqtN,Jean Sibelius;Gustav Djupsjöbacka;Tom Krause,October Classical Playlist,"5 Songs, Op. 38: No. 1, Autumn Evening",0,239333,False,0.308,0.0569,3,-20.515,1,0.0706,0.991,0.000105,0.189,0.0394,73.698,3,Classical / Ambient
5LpADD2axDBVmy9dGoUyxQ,Wolfgang Amadeus Mozart;Bernhard Paumgartner;Camerata Salzburg,Clásica para los niños de hoy,"Divertimento in D Major, K. 136: I. Allegro",0,71960,False,0.478,0.311,9,-13.227,1,0.0357,0.899,0.107,0.255,0.667,121.83,4,Classical / Ambient
4RW7EZi7SHSLRwvn1Q8Mqj,Michael Nyman,The Piano: Music From The Motion Picture,The Heart Asks Pleasure First,57,96560,False,0.166,0.263,9,-18.907,0,0.0357,0.972,0.92,0.124,0.41,177.408,3,Classical / Ambient
4sm3tGqlJ0qMIUse4syKRI,Jules Massenet;Joshua Bell;Michael Stern;Academy of St. Martin in the Fields,Romance of the Violin,Elegie: O doux printemps d'autrefois,20,249666,False,0.19,0.107,0,-17.862,0,0.0481,0.961,0.848,0.122,0.0506,76.077,4,Classical / Ambient
07E0HpWW8gr89oe9iRxOZu,Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler,Classical Christmas 2022,Cantata BWV 208 (Arr. William Walton): Sheep May Safely Graze,0,283933,False,0.0965,0.2,10,-16.97,1,0.0393,0.967,0.958,0.169,0.238,78.351,4,Classical / Ambient
3eWfIqKOLCTbrQwrXKEtw4,Josh Groban,All That Echoes (Deluxe),Sincera,19,215813,False,0.275,0.343,5,-11.252,1,0.0376,0.969,0.0064,0.138,0.261,124.738,4,Classical / Ambient
23ScWxX03wsFf1oyi57ouP,Hayley Westenra,Pure (Includes Bonus Tracks and Exclusive Track),"River Of Dreams (adapted from ""The Four Seasons: Winter, RV 297"")",24,259760,False,0.233,0.177,7,-14.373,1,0.0379,0.849,7.26e-06,0.182,0.132,119.938,1,Classical / Ambient
3RYoQuF5Wfw425VwQEiMBo,BigRicePiano,Stories in the Rain,The Scent of Rain,45,228529,False,0.472,0.143,5,-25.115,0,0.0661,0.896,0.0712,0.0705,0.443,115.946,4,Classical / Ambient
5YB0bqHv7rDYhkzIW8VQmq,Benoît Pioulard,Radial,Stone In Focus,46,663021,False,0.0832,0.245,1,-14.042,1,0.0484,0.933,0.741,0.0944,0.0372,85.475,3,Classical / Ambient
0i5RkqFU2XfihIcxTxG3h1,Biba Dupont,Home full of solipsism,Home full of solipsism,56,177882,False,0.479,0.0431,0,-28.446,1,0.0378,0.996,0.94,0.0914,0.172,95.694,3,Classical / Ambient
1nJE8TEWK9hf9Bl0pekJCi,Javi Lobe,Lost Time,Lost Time,59,140555,False,0.481,0.0639,2,-24.46,0,0.0449,0.991,0.942,0.0922,0.301,125.058,4,Classical / Ambient
5UahfndzuaFbOk29YyAc3M,The Circle Session Players,The Circle Sessions (The Music of Carthay Circle),Some Day My Prince Will Come,27,189106,False,0.436,0.253,7,-16.316,0,0.0368,0.939,0.734,0.105,0.339,93.587,4,Classical / Ambient
3jRTXC9f1gsQWU45VXKGnm,Josh Groban,Noël (Deluxe Edition),It Came Upon a Midnight Clear,23,253066,False,0.429,0.28,8,-12.147,1,0.0319,0.706,0.000524,0.115,0.164,119.856,4,Classical / Ambient
1dnVwpKHlDyTM8TJCEAOg5,Rashid Khan;Vidya Shah,Manto,Bol Ke Lab Azaad Hain,29,296591,False,0.381,0.41,8,-9.075,1,0.0341,0.576,0.00655,0.114,0.225,172.377,4,Classical / Ambient
7ycM6zltS8OPhwJLY7jooI,Celtic Thunder;Keith Harkin,Mythology,Now We Are Free,19,247000,False,0.228,0.412,4,-9.207,0,0.0353,0.349,0.499,0.338,0.079,119.755,3,Classical / Ambient
6sDrpVmhY10ys4TST4HkzT,Matt Large,A Wasteland Fairytale,A City in Ruins,20,177374,False,0.666,0.686,9,-7.293,0,0.0629,0.0169,0.751,0.0969,0.568,175.957,4,Classical / Ambient
5pHVJGizchdV0tApncpJjf,Timothy Infinite,La Vida Nocturna,Salvaje,8,128000,False,0.869,0.718,7,-6.476,1,0.0935,0.0092,0.619,0.877,0.394,120.006,4,Classical / Ambient
4xyFKeBM18JfbKI5ksbCzI,Laura Sullivan,You Are the Reason (Instrumental),You Are the Reason - Instrumental,54,209984,False,0.498,0.236,10,-16.117,1,0.0457,0.99,0.938,0.11,0.148,168.215,3,Classical / Ambient
4dZobuugiOqMn6OJhwDZM5,Dan Gibson's Solitudes,Natural Stress Relief,Sienna Sky,23,900723,False,0.319,0.146,6,-20.912,0,0.0493,0.883,0.816,0.637,0.0772,118.29,4,Classical / Ambient
4ELbfx5VBt4rm808g1g6k0,Billy Joel,Piano Man - The Very Best of Billy Joel,Piano Man - Radio Edit,40,274733,False,0.333,0.531,0,-6.487,1,0.0263,0.55,4.31e-06,0.106,0.422,178.265,3,Classical / Ambient
1QBDI0pYOFgskhDI0C7tKh,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"8 Variations on ‘Ein Weib ist das herrlichste Ding’ by B. Schack in F, K.613: 4. Variation III",1,94438,False,0.215,0.0904,5,-22.501,1,0.0448,0.992,0.892,0.123,0.465,111.983,5,Classical / Ambient
2fav8b2H7DiCiF03Z8xg7O,George Winston,Linus & Lucy - The Music of Vince Guaraldi,"You're in Love, Charlie Brown",27,168631,False,0.322,0.295,8,-15.469,1,0.0325,0.954,0.857,0.0991,0.68,68.733,4,Classical / Ambient
24BYTj1tb5ovZcnIbtdTYD,Seekae;Flume,Test & Recognise (Remixes),Test & Recognise - Flume Re-work,70,303660,False,0.544,0.579,8,-8.52,1,0.0712,0.193,1.43e-05,0.117,0.294,109.769,4,Classical / Ambient
7eR3yxAzyHRreNfY3UrgWU,Ruggero Leoncavallo;Franco Corelli;Orchestra Sinfonica Nazionale della RAI di Torino;Arturo Basile,THE COMPLETE CETRA RECORDINGS,Pagliacci: Act I: Vesti la giubba,21,174706,False,0.149,0.284,4,-9.617,1,0.036,0.976,0.104,0.345,0.0707,81.224,3,Classical / Ambient
0p8gAcPkDYgzcZZwAou12B,Umitaro Abe,Cahier de musique / 音楽手帖,"Scene I, Kyoto",53,87693,False,0.199,0.138,2,-17.578,1,0.0373,0.756,0.7,0.0904,0.214,168.644,3,Classical / Ambient
3rtfnxiJifhesXJcecjcnG,lola dreams,hoppy,hoppy,28,149333,False,0.725,0.776,0,-4.378,1,0.0823,0.551,0.852,0.457,0.288,90.089,4,Classical / Ambient
71M47dsudxmo6NstSLtQSO,Jim Brickman,"Soothe, Vol. 2: Sleep (Music for Tranquil Slumber)",Hush,20,250843,False,0.293,0.0189,4,-23.121,0,0.0346,0.966,0.951,0.113,0.0365,108.925,1,Classical / Ambient
46yKGCvtPXuLq5JUvY8Rk7,Michael Ball,All I want For Christmas Is Music,Driving Home For Christmas,0,240693,False,0.569,0.526,9,-10.204,1,0.0285,0.709,0.00102,0.326,0.607,90.027,4,Classical / Ambient
5R09zoNv6K9vFivS47IdMZ,Deep Sleep Relaxation;Aspirador,Background Brown Noise Ambience for Deeper Sleep (Loopable with no fades),Vaccum Cleaner - Loopable with No Fade,38,67217,False,0.134,0.687,6,-6.269,1,0.069,0.902,0.794,0.269,0.0173,72.667,4,Classical / Ambient
7gbdU7Cuj07lHi0qW0vZcG,Bethel Music;kalley,We Will Not Be Shaken (Live),Ever Be - Live,54,322326,False,0.394,0.56,2,-6.925,1,0.0281,0.00162,0.000582,0.107,0.107,138.057,4,Classical / Ambient
707PZGDkSagq6qmceovsLp,Beat Oven,Superpad,Hawaiian Organ Donor,28,84923,False,0.71,0.0816,2,-13.742,0,0.0605,0.748,0.935,0.104,0.47,65.035,4,Classical / Ambient
5Sies2EfN1e7CNHhfaAq8g,Teide,Girasole,Sorrisi,57,147573,False,0.461,0.0551,7,-24.737,1,0.043,0.972,0.935,0.123,0.355,112.247,4,Classical / Ambient
5KIuAOpwX3UHISVwuBhG2J,Georges Bizet;Orquestra Simfònica de Barcelona i Nacional de Catalunya;Pablo González,Bizet: Carmen & L'arlésienne Suites,L’arlésienne Suite No. 2 (Arr. E. Guiraud): II. Intermezzo,20,259266,False,0.16,0.0079,3,-25.324,1,0.0418,0.984,0.777,0.114,0.066,65.627,4,Classical / Ambient
4mEvW4l23nEOW47gGJ0izf,M. S. Subbulakshmi;Radha Viswanathan,Bhaja Govindam And Vishnu Sahasranamam,Kanakadharashtavam - Ms Subbulakshmi,34,524973,False,0.575,0.326,2,-8.55,1,0.0812,0.971,0.0,0.38,0.324,125.554,4,Classical / Ambient
2ZwjgC6JSTllAAY2lJFXQg,Wolfgang Amadeus Mozart;Hagen Quartett,Mozart - A Classical Dawn,"String Quartet No. 9 in A, K.169: 4. Rondeaux (Allegro)",5,90053,False,0.448,0.113,9,-22.262,1,0.0501,0.979,0.878,0.1,0.792,125.6,4,Classical / Ambient
2hNrGnVySzBMqIQxhklek1,Jim Brickman,Destiny,Crossroads,25,186760,False,0.382,0.298,0,-14.659,1,0.0456,0.952,0.855,0.119,0.382,113.749,4,Classical / Ambient
1RrG45nKWaRooZM4EhTI5c,Beat Oven,En Vivo,Hola Señorita,9,120000,False,0.751,0.585,4,-12.705,0,0.0517,0.271,0.862,0.0682,0.681,100.005,4,Classical / Ambient
39okqfxYTldSJNcrVgzm8B,Hayley Westenra,Hushabye,Stay Awake,22,124453,False,0.321,0.0554,10,-18.243,1,0.0382,0.934,0.000164,0.0883,0.116,110.835,3,Classical / Ambient
7dS7O9Fv4P4pnX1Xz1DhSR,Marika Takeuchi,Missing Piece,Missing Piece,52,245306,False,0.589,0.365,9,-14.291,1,0.0284,0.874,0.905,0.101,0.192,110.023,4,Classical / Ambient
4eyQm2LWSyCvLxx81gDhXy,Giuseppe Verdi;Anna Netrebko;Thomas Hampson;Wiener Philharmoniker;Carlo Rizzi,Verdi: La Traviata,"La traviata / Act II: ""Imponete"" ""Non amarlo ditegli""",20,303133,False,0.363,0.124,10,-20.811,1,0.0678,0.969,2.78e-06,0.0889,0.0534,120.156,4,Classical / Ambient
2ExaKO7GhafvrUHOjWxjgC,OneRepublic,Human (Deluxe),Take Care Of You,48,228364,False,0.461,0.704,0,-6.451,1,0.0377,0.00788,8.88e-06,0.148,0.25,98.539,4,Classical / Ambient
5UEQgrbhzRSn61cawiXtOP,Nightwish,Oceanborn,Passion And The Opera,22,290626,False,0.526,0.944,9,-3.301,1,0.0461,0.000175,0.0376,0.333,0.441,126.587,4,Classical / Ambient
45353YQKFRGxmQP3XXE8sw,Tori Amos,Christmas Songs 2022,Christmastide,0,224360,False,0.666,0.38,7,-13.067,1,0.0324,0.826,5.1e-05,0.101,0.282,115.94,4,Classical / Ambient
1jDJFeK9x3OZboIAHsY9k2,Elton John,Too Low For Zero,I'm Still Standing,84,183440,False,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,4,Classical / Ambient
26SAfHmtlIP2pZVASwtloc,White Noise Baby Sleep,White Noise for Sleeping Babies,Perfect Natural White Noise as a Relaxing Ambient Sleep Aid (Nice Lullaby),65,596886,False,0.0808,0.189,10,-17.587,1,0.0983,0.785,0.968,0.125,1e-05,85.913,3,Classical / Ambient
1f0TbKbhYRTUtTrl2vlzfo,Deuter,Bamboo Forest,No Water No Moon,25,239453,False,0.36,0.0281,2,-27.313,0,0.0455,0.993,0.059,0.114,0.0768,140.779,4,Classical / Ambient
20cmBTlPMQzrRNa6MPhkaU,Giacomo Puccini;Gianni Maffeo;Mirella Freni;Luciano Pavarotti;Elizabeth Harwood;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan,Puccini: La Bohème,"La bohème, SC 67 / Act 4: ""Oh Dio! Mimì!""",24,361640,False,0.244,0.0384,9,-21.672,1,0.0426,0.957,0.01,0.108,0.035,108.374,3,Classical / Ambient
5zgvUtcHsI2zGQPfRvCxRg,Outside Broadcast Recordings,Rain Sound Recouperation,Raining,34,216920,False,0.109,0.994,7,-10.557,1,0.0603,8.37e-06,0.0,0.278,0.0184,93.588,1,Classical / Ambient
7vk7u7kaqw5A6BtkfoxQf3,Yiruma,The Best - Reminiscent 10th Anniversary,Do You?,46,292906,False,0.435,0.101,7,-18.753,1,0.0487,0.992,0.926,0.101,0.222,107.449,4,Classical / Ambient
2gtgt4HljfLVdXRMPG9QiA,Biba Dupont,Shared Shelter,Shared Shelter,60,161723,False,0.349,0.0451,4,-27.358,1,0.043,0.996,0.953,0.0758,0.143,93.299,3,Classical / Ambient
0wg0Ly8aadaS8FonmAu27A,Celtic Woman,Ancient Land (Deluxe),Going Home,21,241986,False,0.43,0.369,2,-7.828,1,0.0279,0.471,0.0,0.172,0.108,75.948,4,Classical / Ambient
6IQBnoeLPehnJaE6sKMhVs,Laura Sullivan,A Thousand Years (Piano Version),A Thousand Years (Piano Version),54,148369,False,0.316,0.0831,10,-25.582,1,0.0427,0.989,0.929,0.161,0.276,148.688,3,Classical / Ambient
1AypLOhAhLxEDCOy5XGxLM,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - All Day Classics,"Nine Variations in D, K.573 on a minuet by J.P. Duport: 7a. Variation VI - Pt. 1",16,63893,False,0.457,0.0343,2,-27.041,0,0.0465,0.989,0.953,0.0988,0.435,71.381,3,Classical / Ambient
4cQ1bv8oR06ojyRYrVxAyU,Silent Knights,Shhhhhhhhhh White Noise,Shhhh With Big Fan,34,180000,False,0.296,0.945,0,-13.889,1,0.0579,0.000581,0.0,0.273,0.00771,127.44,3,Classical / Ambient
4qqXbRF8ZWBLP9wwL8QtzB,Secret Garden,Songs From A Secret Garden,Adagio,54,175040,False,0.115,0.328,7,-11.154,0,0.0416,0.911,0.771,0.101,0.0611,51.096,4,Classical / Ambient
